20136,141.23,0.002
20137,142.4,0.002
20138,143.12,0.002268
20139,144.05,0.001606
20140,145.09,0.001346
20141,145.19,0.002947
20142,145.19,0.003471
20143,145.06,0.00379
20144,144.55,0.004365
20145,145.08,0.004091
20146,145.75,0.003891
20147,145.73,0.003822
20148,145.46,0.003889
20149,145.46,0.003786
20150,145.82,0.003638
20151,146.59,0.003589
20152,147.71,0.003697
20153,148.29,0.003589
20154,148.49,0.003501
20155,147.95,0.003708
20156,147.95,0.00365
20157,148.39,0.00338
20158,148.42,0.003328
20159,148.08,0.003259
20160,147.99,0.002981
20161,148.17,0.002981
20162,147.75,0.003097
20163,147.75,0.003077
20164,148.24,0.002934
20165,147.98,0.00295
20166,147.77,0.002868
20167,147.33,0.00298
20168,147.28,0.002934
20169,146.64,0.003137
20170,146.64,0.0031
20171,148.47,0.003988
20172,148.88,0.003676
20173,148.55,0.003623
20174,148.96,0.003662
20175,149.6,0.003658
20176,149.46,0.003671
20177,149.46,0.003626
20178,149.76,0.003645
20179,149.88,0.003587
20180,150.22,0.003594
20181,150.64,0.003622
20182,150.58,0.003532
20183,150.34,0.003572
20184,150.34,0.003529
20185,150.55,0.003484
20186,150.44,0.003463
20187,150.5,0.003345
20188,150.65,0.003329
20189,150.82,0.003069
20190,150.37,0.00321
20191,150.37,0.001856
20192,150.99,0.001959
20193,150.84,0.001881
20194,150.89,0.001823
20195,150.62,0.001685
20196,150.61,0.001661
20197,150.58,0.001664
20198,150.58,0.001621
20199,150.76,0.00163
20200,150.69,0.001569
20201,150.24,0.00159
20202,149.04,0.002376
20203,148.13,0.002681
20204,147.26,0.002909
20205,147.26,0.002864
20206,147.35,0.002889
20207,147.57,0.002928
20208,147.97,0.003012
20209,148.25,0.003044
20210,148.79,0.003158
20211,148.75,0.003157
20212,148.75,0.002965
20213,149.44,0.003198
20214,150.35,0.003515
20215,151.52,0.00391
20216,151.57,0.003909
20217,151.71,0.00391
20218,151.27,0.003978
20219,151.27,0.003971
20220,151.77,0.004029
20221,151.74,0.003954
20222,151.72,0.003417
20223,151.74,0.003002
20224,151.31,0.002683
20225,151.23,0.0027
20226,151.23,0.002712
20227,151.41,0.002711
20228,151.94,0.002739
